Data operacji;Data waluty;Typ transakcji;Kwota;Waluta;Lokalizacja
2018-03-10;2018-03-08;Płatność kartą;-325;PLN;Lokalizacja:     VSFA ARKADIA
2018-03-11;2018-03-10;Płatność kartą;-24;PLN;Lokalizacja:     McDonalds 12
2018-03-11;2018-03-09;Płatność kartą;-17.75;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-03-11;2018-03-09;Płatność kartą;-7.64;PLN;Lokalizacja:     Top Market
2018-03-12;2018-03-10;Płatność kartą;-16.15;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-03-13;2018-03-12;Płatność kartą;-15.5;PLN;Lokalizacja:     Bar Mleczny Marymont
2018-03-14;2018-03-13;Płatność kartą;-70.79;PLN;Lokalizacja:     ORLEN 35
2018-03-14;2018-03-13;Płatność kartą;-150.05;PLN;Lokalizacja:     ORLEN 35
2018-03-14;2018-03-12;Płatność kartą;-5.4;PLN;Lokalizacja:     Top Market
2018-03-15;2018-03-13;Płatność kartą;-37.99;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-03-16;2018-03-15;Płatność kartą;-8;PLN;Lokalizacja:     Bar Mleczny Marymont
2018-03-16;2018-03-14;Płatność kartą;-14.96;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-03-17;2018-03-16;Płatność kartą;-8;PLN;Lokalizacja:     Bar Mleczny Marymont
2018-03-21;2018-03-19;Płatność kartą;-6.5;PLN;Lokalizacja:     Bar Mleczny Marymont
2018-03-22;2018-03-20;Płatność kartą;-11.95;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-03-23;2018-03-22;Płatność kartą;-14;PLN;Lokalizacja:  Nadarzyn  Pajda Catering
2018-03-23;2018-03-21;Płatność kartą;-8.15;PLN;Lokalizacja:     Top Market
2018-03-23;2018-03-21;Płatność kartą;-20.14;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
